Статьи,PL группа 1,Статьи затрат PL в 1 C,%,Факт,%_сравнеие,Период,Monthnumber
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,253940,-1296%,2021,7
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,352130,-907%,2021,8
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,355830,-896%,2021,9
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,376644.8,-841%,2021,10
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,411770,-761%,2021,11
Доп. транспортные расходы,Доп. транспортные расходы,Услуги такси,,521236.8,-580%,2021,12
Кредит нота за товар,Кредит нота за товар,Возмещение расходов от поставщика,,1367724,-1354%,2023,3
Кредит нота за товар,Кредит нота за товар,Возмещение расходов от поставщика,,32876712.33,40%,2023,6
Кредит нота за товар,Кредит нота за товар,Возмещение расходов от поставщика,,19883579.91,84%,2022,11
Кредит нота за товар,Кредит нота за товар,Возмещение расходов от поставщика,,3125000,100%,2021,1
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,10805138.39,-54507%,2023,1
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,17322875.009999998,-33961%,2023,2
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,193655136.65,-2947%,2023,3
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,1092000,-540226%,2023,4
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,10006874.2,-58863%,2023,6
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,10190246.93,-17666%,2022,1
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,289906272.17,-524%,2022,3
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,904512631.55,-100%,2022,4
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,15987244.909999998,-11224%,2022,5
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,1232962.5,-146729%,2022,6
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,2923068346.73,38%,2022,7
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,119440973.30000001,-1416%,2022,8
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,24791933.169999998,-7202%,2022,9
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,8128897.42,-22171%,2022,10
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,1603099021.4100003,-13%,2022,12
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,241771486.70000002,-351%,2021,1
Кредит нота за товар,Кредит нота за товар,После сезонная скидка от поставщика,,179072423.89999998,-509%,2021,3
