Статьи затрат для PL,Статьи затрат PL в 1 C,guid,kod,PL группа 1
Расходы ГО,Прочие IT расходы,0xA23F00155D01C80911E9EE6D59D87C6D,00-000066,Прочие Административные расходы
Расходы ГО,Расходы на содержание офиса,0x883700155D01C90111E6F1CE5ED9D2C9,00-000016,Прочие Административные расходы
Расходы ГО,Расходы офиса,0xA23F00155D01C80911E9F3FF1BBB543A,00-000118,Прочие Административные расходы
Расходы ГО,Хозтовары,0x80DD00155D01C90111E80BFD90C202D7,00-000044,Прочие Административные расходы
Расходы за счет чистой прибыли,Расходы за счет чистой прибыли,0x801E00155D01C90111E6E78308D7D7E5,,Доход/Расход от переоценки статей баланса
Расходы на приобретение ОС (автопарк),Расходы на приобретение ОС (автопарк),0xA21F7085C2A4312A11E9FC7F7278F3CA,00-000127,Доп. транспортные расходы
Расходы на проценты,Доход по вознаграждениям от размещения депозитов,0xAF93D4F5EF10792511ED4A0FDBF267E6,00-000017,Прочие доходы
Расходы не идущие на вычеты,Расходы не идущие на вычеты,0xA22F7085C2A4312A11EAD17F078B4A03,00-000142,Расходы группы развитие продуктов
Расходы по выбытию активов,Себестоимость реализованных ОС и НМА,0xA2337085C2A4312A11EB1208BE55F248,00-000145,Прочие Операционные расходы
Расходы по выбытию активов,Себестоимость списанных ОС и НМА,0xA2337085C2A4312A11EB3090732B05BA,00-000147,Прочие Операционные расходы
Расходы по выбытию активов,Списание при выбытии всех фиксированных активов группы НУ,0xBA3E00155D01C90111E7373021C8131E,УТ-000012,Прочие Операционные расходы
Расходы по комиссионному вознаграждению,Вознаграждение,0x80C500155D01C90111E74F24B835D08D,00-000030,Прочие Административные расходы
Расходы по комиссионному вознаграждению,Расходы по комиссионному вознаграждению,0x80DE000C29E67B2E11E628A464E5C16E,УТ-000010,Прочие Административные расходы
Расходы по обесценению дебиторской задолженности,Списание убытков прошлых лет по истечению срока давности,0xA2307085C2A4312A11EAEC6FE2F9377E,УТ-000022,Коммерческие расходы
